team_name,team,Season,fixed_name,Elo_name,UCL_Flag,EL_Flag,ECL_Flag,Europe_flag,Promoted_flag,Final_position,team_elo
Arsenal,1,2122,Arsenal,Arsenal,0,0,0,0,0,5,1866.67456055
Aston Villa,2,2122,Aston Villa,AstonVilla,0,0,0,0,0,14,1747.11230469
Brentford,3,2122,Brentford,Brentford,0,0,0,0,1,13,1671.97888184
Brighton,4,2122,Brighton,Brighton,0,0,0,0,0,9,1720.88342285
Burnley,5,2122,Burnley,Burnley,0,0,0,0,0,18,1709.37329102
Chelsea,6,2122,Chelsea,Chelsea,1,0,0,1,0,3,1923.20202637
Crystal Palace,7,2122,Crystal Palace,CrystalPalace,0,0,0,0,0,12,1693.30944824
Everton,8,2122,Everton,Everton,0,0,0,0,0,16,1771.19372559
Leeds Utd,9,2122,Leeds Utd,Leeds,0,0,0,0,0,17,1783.74121094
Leicester,10,2122,Leicester,Leicester,0,1,1,1,0,8,1801.89501953
Liverpool,11,2122,Liverpool,Liverpool,1,0,0,1,0,2,1940.19763184
Man City,12,2122,Man City,ManCity,1,0,0,1,0,1,2012.76818848
Man Utd,13,2122,Man Utd,ManUnited,1,0,0,1,0,6,1925.87194824
Newcastle,14,2122,Newcastle,Newcastle,0,0,0,0,0,11,1724.89587402
Southampton,16,2122,Southampton,Southampton,0,0,0,0,0,15,1700.75109863
Tottenham,17,2122,Tottenham,Tottenham,0,0,1,1,0,4,1831.75012207
Watford,18,2122,Watford,Watford,0,0,0,0,1,19,1673.33557129
West Ham,19,2122,West Ham,WestHam,0,1,0,1,0,7,1810.99633789
Wolves,20,2122,Wolves,Wolves,0,0,0,0,0,10,1738.54443359
Arsenal,1,2021,Arsenal,Arsenal,0,1,0,1,0,8,1799.52392578
Aston Villa,2,2021,Aston Villa,AstonVilla,0,0,0,0,0,11,1618.25402832
Brighton,3,2021,Brighton,Brighton,0,0,0,0,0,16,1653.63110352
Burnley,4,2021,Burnley,Burnley,0,0,0,0,0,17,1722.70275879
Chelsea,5,2021,Chelsea,Chelsea,1,0,0,1,0,4,1818.56286621
Crystal Palace,6,2021,Crystal Palace,CrystalPalace,0,0,0,0,0,14,1673.68884277
Everton,7,2021,Everton,Everton,0,0,0,0,0,10,1715.9395752
Fulham,8,2021,Fulham,Fulham,0,0,0,0,1,18,1591.54626465
Leeds Utd,9,2021,Leeds Utd,Leeds,0,0,0,0,1,9,1624.62426758
Leicester,10,2021,Leicester,Leicester,0,1,0,1,0,5,1757.98510742
Liverpool,11,2021,Liverpool,Liverpool,1,0,0,1,0,3,1991.63098145
Man City,12,2021,Man City,ManCity,1,0,0,1,0,1,1967.77905273
Man Utd,13,2021,Man Utd,ManUnited,1,1,0,1,0,2,1860.72937012
Newcastle,14,2021,Newcastle,Newcastle,0,0,0,0,0,12,1677.56347656
Sheffield Utd,15,2021,Sheffield Utd,SheffieldUnited,0,0,0,0,0,20,1693.6763916
Southampton,16,2021,Southampton,Southampton,0,0,0,0,0,15,1720.21118164
Tottenham,17,2021,Tottenham,Tottenham,0,1,0,1,0,7,1807.71264648
West Brom,18,2021,West Brom,WestBrom,0,0,0,0,1,19,1593.79064941
West Ham,19,2021,West Ham,WestHam,0,0,0,0,0,6,1685.76428223
Wolves,20,2021,Wolves,Wolves,0,0,0,0,0,13,1778.44799805
